title_system,web_link
Васил Левски,https://bg.wikipedia.org/wiki/%D0%92%D0%B0%D1%81%D0%B8%D0%BB_%D0%9B%D0%B5%D0%B2%D1%81%D0%BA%D0%B8
Микропроцесор,https://bg.wikipedia.org/wiki/%D0%9C%D0%B8%D0%BA%D1%80%D0%BE%D0%BF%D1%80%D0%BE%D1%86%D0%B5%D1%81%D0%BE%D1%80
Интегрална схема,https://bg.wikipedia.org/wiki/%D0%98%D0%BD%D1%82%D0%B5%D0%B3%D1%80%D0%B0%D0%BB%D0%BD%D0%B0_%D1%81%D1%85%D0%B5%D0%BC%D0%B0
Чип,https://bg.wikipedia.org/wiki/%D0%A7%D0%B8%D0%BF
Микроелектроника,https://bg.wikipedia.org/wiki/%D0%9C%D0%B8%D0%BA%D1%80%D0%BE%D0%B5%D0%BB%D0%B5%D0%BA%D1%82%D1%80%D0%BE%D0%BD%D0%B8%D0%BA%D0%B0
Силициева долина,https://bg.wikipedia.org/wiki/%D0%A1%D0%B8%D0%BB%D0%B8%D1%86%D0%B8%D0%B5%D0%B2%D0%B0_%D0%B4%D0%BE%D0%BB%D0%B8%D0%BD%D0%B0
Интел,https://bg.wikipedia.org/wiki/%D0%98%D0%BD%D1%82%D0%B5%D0%BB
Транзистор,https://bg.wikipedia.org/wiki/%D0%A2%D1%80%D0%B0%D0%BD%D0%B7%D0%B8%D1%81%D1%82%D0%BE%D1%80
Европейска централна банка,https://bg.wikipedia.org/wiki/%D0%95%D0%B2%D1%80%D0%BE%D0%BF%D0%B5%D0%B9%D1%81%D0%BA%D0%B0_%D1%86%D0%B5%D0%BD%D1%82%D1%80%D0%B0%D0%BB%D0%BD%D0%B0_%D0%B1%D0%B0%D0%BD%D0%BA%D0%B0
Американска психологична асоциация,https://bg.wikipedia.org/wiki/%D0%90%D0%BC%D0%B5%D1%80%D0%B8%D0%BA%D0%B0%D0%BD%D1%81%D0%BA%D0%B0_%D0%BF%D1%81%D0%B8%D1%85%D0%BE%D0%BB%D0%BE%D0%B3%D0%B8%D1%87%D0%BD%D0%B0_%D0%B0%D1%81%D0%BE%D1%86%D0%B8%D0%B0%D1%86%D0%B8%D1%8F
Остромила,https://bg.wikipedia.org/wiki/%D0%9E%D1%81%D1%82%D1%80%D0%BE%D0%BC%D0%B8%D0%BB%D0%B0
Нетфликс,https://bg.wikipedia.org/wiki/%D0%9D%D0%B5%D1%82%D1%84%D0%BB%D0%B8%D0%BA%D1%81
Дисниленд,https://bg.wikipedia.org/wiki/%D0%94%D0%B8%D1%81%D0%BD%D0%B8%D0%BB%D0%B5%D0%BD%D0%B4
Хоум Бокс Офис,https://bg.wikipedia.org/wiki/%D0%A5%D0%BE%D1%83%D0%BC_%D0%91%D0%BE%D0%BA%D1%81_%D0%9E%D1%84%D0%B8%D1%81
Лилав цвят,https://bg.wikipedia.org/wiki/%D0%9B%D0%B8%D0%BB%D0%B0%D0%B2_%D1%86%D0%B2%D1%8F%D1%82
Изобразително изкуство,https://bg.wikipedia.org/wiki/%D0%98%D0%B7%D0%BE%D0%B1%D1%80%D0%B0%D0%B7%D0%B8%D1%82%D0%B5%D0%BB%D0%BD%D0%BE_%D0%B8%D0%B7%D0%BA%D1%83%D1%81%D1%82%D0%B2%D0%BE
Тримерен печат,https://bg.wikipedia.org/wiki/%D0%A2%D1%80%D0%B8%D0%BC%D0%B5%D1%80%D0%B5%D0%BD_%D0%BF%D0%B5%D1%87%D0%B0%D1%82
UML,https://bg.wikipedia.org/wiki/UML
Прототип,https://bg.wikipedia.org/wiki/%D0%9F%D1%80%D0%BE%D1%82%D0%BE%D1%82%D0%B8%D0%BF
Операционна система,https://bg.wikipedia.org/wiki/%D0%9E%D0%BF%D0%B5%D1%80%D0%B0%D1%86%D0%B8%D0%BE%D0%BD%D0%BD%D0%B0_%D1%81%D0%B8%D1%81%D1%82%D0%B5%D0%BC%D0%B0
Програмна грешка,https://bg.wikipedia.org/wiki/%D0%9F%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BD%D0%B0_%D0%B3%D1%80%D0%B5%D1%88%D0%BA%D0%B0
JavaScript,https://bg.wikipedia.org/wiki/JavaScript
